bollinger_period,bollinger_std,bollinger_width_threshold,rsi_upper,rsi_lower,atr_multiplier,final_value
10,0.5,0.04,65,35,1,1034.5808881488972
10,0.5,0.04,65,35,1.2,1033.5597423095296
10,0.5,0.04,65,35,1.5,1034.9654875411475
10,0.5,0.04,65,35,2,1027.7559382249985
10,0.5,0.04,65,40,0.5,1026.6744633063365
10,0.5,0.04,65,40,0.8,1025.8085369938185
10,0.5,0.04,65,40,1,1029.4274330706878
10,0.5,0.04,65,40,1.2,1029.0197299499105
10,0.5,0.04,65,40,1.5,1031.3854799880469
10,0.5,0.04,65,40,2,1023.0959297945176
10,0.5,0.04,70,25,0.5,1000.0
10,0.5,0.04,70,25,0.8,1000.0
10,0.5,0.04,70,25,1,1000.0
10,0.5,0.04,70,25,1.2,1000.0
10,0.5,0.04,70,25,1.5,1000.0
10,0.5,0.04,70,25,2,1000.0
10,0.5,0.04,70,30,0.5,980.6508613655617
10,0.5,0.04,70,30,0.8,980.5031912216741
10,0.5,0.04,70,30,1,984.9435150589908
10,0.5,0.04,70,30,1.2,985.0837859155115
10,0.5,0.04,70,30,1.5,985.4746076244818
10,0.5,0.04,70,30,2,980.6975430871981
10,0.5,0.04,70,35,0.5,1029.9179209842805
10,0.5,0.04,70,35,0.8,1030.2260651510264
10,0.5,0.04,70,35,1,1034.5808881488972
10,0.5,0.04,70,35,1.2,1033.5597423095296
10,0.5,0.04,70,35,1.5,1034.9654875411475
10,0.5,0.04,70,35,2,1027.7559382249985
10,0.5,0.04,70,40,0.5,1026.6744633063365
10,0.5,0.04,70,40,0.8,1025.8085369938185
10,0.5,0.04,70,40,1,1029.4274330706878
10,0.5,0.04,70,40,1.2,1029.0197299499105
10,0.5,0.04,70,40,1.5,1031.3854799880469
10,0.5,0.04,70,40,2,1023.0959297945176
10,0.5,0.04,75,25,0.5,1000.0
10,0.5,0.04,75,25,0.8,1000.0
10,0.5,0.04,75,25,1,1000.0
10,0.5,0.04,75,25,1.2,1000.0
10,0.5,0.04,75,25,1.5,1000.0
10,0.5,0.04,75,25,2,1000.0
10,0.5,0.04,75,30,0.5,980.6508613655617
10,0.5,0.04,75,30,0.8,980.5031912216741
10,0.5,0.04,75,30,1,984.9435150589908
10,0.5,0.04,75,30,1.2,985.0837859155115
10,0.5,0.04,75,30,1.5,985.4746076244818
10,0.5,0.04,75,30,2,980.6975430871981
10,0.5,0.04,75,35,0.5,1029.9179209842805
10,0.5,0.04,75,35,0.8,1030.2260651510264
10,0.5,0.04,75,35,1,1034.5808881488972
10,0.5,0.04,75,35,1.2,1033.5597423095296
10,0.5,0.04,75,35,1.5,1034.9654875411475
10,0.5,0.04,75,35,2,1027.7559382249985
10,0.5,0.04,75,40,0.5,1026.6744633063365
10,0.5,0.04,75,40,0.8,1025.8085369938185
10,0.5,0.04,75,40,1,1029.4274330706878
10,0.5,0.04,75,40,1.2,1029.0197299499105
10,0.5,0.04,75,40,1.5,1031.3854799880469
10,0.5,0.04,75,40,2,1023.0959297945176
10,0.5,0.04,80,25,0.5,1000.0
10,0.5,0.04,80,25,0.8,1000.0
10,0.5,0.04,80,25,1,1000.0
10,0.5,0.04,80,25,1.2,1000.0
10,0.5,0.04,80,25,1.5,1000.0
10,0.5,0.04,80,25,2,1000.0
10,0.5,0.04,80,30,0.5,980.6508613655617
10,0.5,0.04,80,30,0.8,980.5031912216741
10,0.5,0.04,80,30,1,984.9435150589908
10,0.5,0.04,80,30,1.2,985.0837859155115
10,0.5,0.04,80,30,1.5,985.4746076244818
10,0.5,0.04,80,30,2,980.6975430871981
10,0.5,0.04,80,35,0.5,1029.9179209842805
10,0.5,0.04,80,35,0.8,1030.2260651510264
10,0.5,0.04,80,35,1,1034.5808881488972
10,0.5,0.04,80,35,1.2,1033.5597423095296
10,0.5,0.04,80,35,1.5,1034.9654875411475
10,0.5,0.04,80,35,2,1027.7559382249985
10,0.5,0.04,80,40,0.5,1026.6744633063365
10,0.5,0.04,80,40,0.8,1025.8085369938185
10,0.5,0.04,80,40,1,1029.4274330706878
10,0.5,0.04,80,40,1.2,1029.0197299499105
10,0.5,0.04,80,40,1.5,1031.3854799880469
10,0.5,0.04,80,40,2,1023.0959297945176
10,0.5,0.05,60,25,0.5,1000.0
10,0.5,0.05,60,25,0.8,1000.0
10,0.5,0.05,60,25,1,1000.0
10,0.5,0.05,60,25,1.2,1000.0
10,0.5,0.05,60,25,1.5,1000.0
10,0.5,0.05,60,25,2,1000.0
10,0.5,0.05,60,30,0.5,980.6508613655617
10,0.5,0.05,60,30,0.8,980.5031912216741
10,0.5,0.05,60,30,1,984.9435150589908
10,0.5,0.05,60,30,1.2,985.0837859155115
10,0.5,0.05,60,30,1.5,985.4746076244818
10,0.5,0.05,60,30,2,980.6975430871981
10,0.5,0.05,60,35,0.5,982.8908821175148
10,0.5,0.05,60,35,0.8,982.7432119736272
10,0.5,0.05,60,35,1,987.1835358109439
10,0.5,0.05,60,35,1.2,987.3238066674646
10,0.5,0.05,60,35,1.5,987.7146283764349
10,0.5,0.05,60,35,2,982.9375638391513
10,0.5,0.05,60,40,0.5,975.267421464107
10,0.5,0.05,60,40,0.8,973.9456808409554
10,0.5,0.05,60,40,1,977.17007726136
10,0.5,0.05,60,40,1.2,977.923790836471
10,0.5,0.05,60,40,1.5,978.2146121639715
10,0.5,0.05,60,40,2,978.4875487710971
10,0.5,0.05,65,25,0.5,1000.0
10,0.5,0.05,65,25,0.8,1000.0
10,0.5,0.05,65,25,1,1000.0
10,0.5,0.05,65,25,1.2,1000.0
10,0.5,0.05,65,25,1.5,1000.0
10,0.5,0.05,65,25,2,1000.0
10,0.5,0.05,65,30,0.5,980.6508613655617
10,0.5,0.05,65,30,0.8,980.5031912216741
10,0.5,0.05,65,30,1,984.9435150589908
10,0.5,0.05,65,30,1.2,985.0837859155115
10,0.5,0.05,65,30,1.5,985.4746076244818
10,0.5,0.05,65,30,2,980.6975430871981
10,0.5,0.05,65,35,0.5,982.8908821175148
10,0.5,0.05,65,35,0.8,982.7432119736272
10,0.5,0.05,65,35,1,987.1835358109439
10,0.5,0.05,65,35,1.2,987.3238066674646
10,0.5,0.05,65,35,1.5,987.7146283764349
10,0.5,0.05,65,35,2,982.9375638391513
10,0.5,0.05,65,40,0.5,975.267421464107
10,0.5,0.05,65,40,0.8,973.9456808409554
10,0.5,0.05,65,40,1,977.17007726136
10,0.5,0.05,65,40,1.2,977.923790836471
10,0.5,0.05,65,40,1.5,978.2146121639715
10,0.5,0.05,65,40,2,978.4875487710971
10,0.5,0.05,70,25,0.5,1000.0
10,0.5,0.05,70,25,0.8,1000.0
10,0.5,0.05,70,25,1,1000.0
10,0.5,0.05,70,25,1.2,1000.0
10,0.5,0.05,70,25,1.5,1000.0
10,0.5,0.05,70,25,2,1000.0
10,0.5,0.05,70,30,0.5,980.6508613655617
10,0.5,0.05,70,30,0.8,980.5031912216741
10,0.5,0.05,70,30,1,984.9435150589908
10,0.5,0.05,70,30,1.2,985.0837859155115
10,0.5,0.05,70,30,1.5,985.4746076244818
10,0.5,0.05,70,30,2,980.6975430871981
10,0.5,0.05,70,35,0.5,982.8908821175148
10,0.5,0.05,70,35,0.8,982.7432119736272
10,0.5,0.05,70,35,1,987.1835358109439
10,0.5,0.05,70,35,1.2,987.3238066674646
10,0.5,0.05,70,35,1.5,987.7146283764349
10,0.5,0.05,70,35,2,982.9375638391513
10,0.5,0.05,70,40,0.5,975.267421464107
10,0.5,0.05,70,40,0.8,973.9456808409554
10,0.5,0.05,70,40,1,977.17007726136
10,0.5,0.05,70,40,1.2,977.923790836471
10,0.5,0.05,70,40,1.5,978.2146121639715
10,0.5,0.05,70,40,2,978.4875487710971
10,0.5,0.05,75,25,0.5,1000.0
10,0.5,0.05,75,25,0.8,1000.0
10,0.5,0.05,75,25,1,1000.0
10,0.5,0.05,75,25,1.2,1000.0
10,0.5,0.05,75,25,1.5,1000.0
10,0.5,0.05,75,25,2,1000.0
10,0.5,0.05,75,30,0.5,980.6508613655617
10,0.5,0.05,75,30,0.8,980.5031912216741
10,0.5,0.05,75,30,1,984.9435150589908
10,0.5,0.05,75,30,1.2,985.0837859155115
10,0.5,0.05,75,30,1.5,985.4746076244818
10,0.5,0.05,75,30,2,980.6975430871981
10,0.5,0.05,75,35,0.5,982.8908821175148
10,0.5,0.05,75,35,0.8,982.7432119736272
10,0.5,0.05,75,35,1,987.1835358109439
10,0.5,0.05,75,35,1.2,987.3238066674646
10,0.5,0.05,75,35,1.5,987.7146283764349
10,0.5,0.05,75,35,2,982.9375638391513
10,0.5,0.05,75,40,0.5,975.267421464107
10,0.5,0.05,75,40,0.8,973.9456808409554
10,0.5,0.05,75,40,1,977.17007726136
10,0.5,0.05,75,40,1.2,977.923790836471
10,0.5,0.05,75,40,1.5,978.2146121639715
10,0.5,0.05,75,40,2,978.4875487710971
10,0.5,0.05,80,25,0.5,1000.0
10,0.5,0.05,80,25,0.8,1000.0
10,0.5,0.05,80,25,1,1000.0
10,0.5,0.05,80,25,1.2,1000.0
10,0.5,0.05,80,25,1.5,1000.0
10,0.5,0.05,80,25,2,1000.0
10,0.5,0.05,80,30,0.5,980.6508613655617
10,0.5,0.05,80,30,0.8,980.5031912216741
10,0.5,0.05,80,30,1,984.9435150589908
10,0.5,0.05,80,30,1.2,985.0837859155115
10,0.5,0.05,80,30,1.5,985.4746076244818
10,0.5,0.05,80,30,2,980.6975430871981
10,0.5,0.05,80,35,0.5,982.8908821175148
10,0.5,0.05,80,35,0.8,982.7432119736272
10,0.5,0.05,80,35,1,987.1835358109439
10,0.5,0.05,80,35,1.2,987.3238066674646
10,0.5,0.05,80,35,1.5,987.7146283764349
10,0.5,0.05,80,35,2,982.9375638391513
10,0.5,0.05,80,40,0.5,975.267421464107
10,0.5,0.05,80,40,0.8,973.9456808409554
10,0.5,0.05,80,40,1,977.17007726136
10,0.5,0.05,80,40,1.2,977.923790836471
10,0.5,0.05,80,40,1.5,978.2146121639715
10,0.5,0.05,80,40,2,978.4875487710971
10,0.5,0.06,60,25,0.5,1000.0
10,0.5,0.06,60,25,0.8,1000.0
10,0.5,0.06,60,25,1,1000.0
10,0.5,0.06,60,25,1.2,1000.0
10,0.5,0.06,60,25,1.5,1000.0
10,0.5,0.06,60,25,2,1000.0
10,0.5,0.06,60,30,0.5,1000.0
10,0.5,0.06,60,30,0.8,1000.0
10,0.5,0.06,60,30,1,1000.0
10,0.5,0.06,60,30,1.2,1000.0
10,0.5,0.06,60,30,1.5,1000.0
10,0.5,0.06,60,30,2,1000.0
10,0.5,0.06,60,35,0.5,1003.920036315918
10,0.5,0.06,60,35,0.8,1003.920036315918
10,0.5,0.06,60,35,1,1003.920036315918
10,0.5,0.06,60,35,1.2,1003.920036315918
10,0.5,0.06,60,35,1.5,1003.920036315918
10,0.5,0.06,60,35,2,1003.920036315918
10,0.5,0.06,60,40,0.5,991.3132973921722
10,0.5,0.06,60,40,0.8,990.3024949980045
10,0.5,0.06,60,40,1,989.8727129623301
10,0.5,0.06,60,40,1.2,989.7613784934349
10,0.5,0.06,60,40,1.5,990.9400110244751
10,0.5,0.06,60,40,2,990.9400110244751
10,0.5,0.06,65,25,0.5,1000.0
10,0.5,0.06,65,25,0.8,1000.0
10,0.5,0.06,65,25,1,1000.0
10,0.5,0.06,65,25,1.2,1000.0
10,0.5,0.06,65,25,1.5,1000.0
10,0.5,0.06,65,25,2,1000.0
10,0.5,0.06,65,30,0.5,1000.0
10,0.5,0.06,65,30,0.8,1000.0
10,0.5,0.06,65,30,1,1000.0
10,0.5,0.06,65,30,1.2,1000.0
10,0.5,0.06,65,30,1.5,1000.0
10,0.5,0.06,65,30,2,1000.0
